date	city	accommodation
2026-10-01	beijing	beijing-hutong
2026-10-02	beijing	beijing-hutong
2026-10-03	beijing	beijing-hutong
2026-10-04	beijing	beijing-hutong
2026-10-05	xian	xian-hostel
2026-10-06	xian	xian-hostel
2026-10-07	xian	xian-hostel
2026-10-08	chengdu	chengdu-panda-inn
2026-10-09	chengdu	chengdu-panda-inn
2026-10-10	chengdu	chengdu-panda-inn
2026-10-11	chongqing	chongqing-riverside
2026-10-12	chongqing	chongqing-riverside
2026-10-13	zhangjiajie	zhangjiajie-lodge
2026-10-14	zhangjiajie	zhangjiajie-lodge
2026-10-15	zhangjiajie	zhangjiajie-lodge
2026-10-16	guilin	guilin-li-river
2026-10-17	guilin	guilin-li-river
2026-10-18	guilin	guilin-li-river
2026-10-19	hongkong	hongkong-central
2026-10-20	hongkong	hongkong-central
2026-10-21	hongkong	hongkong-central
