date	city_key	accommodation_key	emoji	notes	tagline	travel	hero_image
2026-10-11	beijing	beijing-hutong	✈️	"## Arrival
Land at **PEK**, clear customs, and take the **Airport Express** to Dongzhimen (¥25, 20 min). Check into the hutong inn and drop luggage.

## Evening
Walk through **Nanluoguxiang** — grab jianbing (savoury crepes) from a street cart and explore the lantern-lit alley. Early night; jet lag is real."	Touch down and wander the hutongs	HU470 + HU7368, arrive PEK 09:50	https://images.unsplash.com/photo-1742568405843-19660be36193?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-12	beijing	beijing-hutong	🏯	"## Morning
Full day at the **Forbidden City** and Tiananmen. Be at the South Gate by **8 am** to beat the crowds — book tickets in advance online (¥60 pp). Walk the full north–south axis; don't miss the **Clock Exhibition Hall**.

## Afternoon
Stroll through **Jingshan Park** for the classic rooftop view back over the golden rooftops.

## Dinner
**Dadong Roast Duck** — order the crispy suckling duck, not just the Peking duck, if they have it."	Forbidden City, Jingshan Park and duck		https://images.unsplash.com/photo-1578673617412-3aff84bde4eb?fm=jpg&q=60&w=3000
2026-10-13	beijing	beijing-hutong	🧱	"## Great Wall
- Take a private taxi to **Mutianyu** (less crowded than Badaling, more dramatic than Simatai for a day trip).
- Cable car up, toboggan run down — genuinely fun.
- The wall dates to the Ming dynasty; walk east from the cable car for views and almost no people.
- Pack lunch or eat at the village below.

## Afternoon
Back in the hutongs — rent bikes and cycle the **Second Ring Road** canal path."	Great Wall views and a toboggan run		https://images.unsplash.com/photo-1698932848612-a403da1265c8?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-14	beijing		🚆	"## Morning
**Temple of Heaven** — arrive early for the extraordinary sight of elderly Beijingers practising tai chi, ballroom dancing and opera in the park.

## Afternoon
Keep this intentionally light: late lunch back in the hutongs, last-minute errands, showers and repacking before checkout.

## Evening
Head to **Beijing West** with plenty of buffer, eat near the station, and board the sleeper to Xi'an. Book **soft sleeper (软卧)** well in advance (12306 or Trip.com); for a group of seven, reserve as early as tickets open."	Temple of Heaven and the Xi'an sleeper	Sleeper Beijing West → Xi'an, ~11–12 hrs	https://images.unsplash.com/photo-1748964282665-420a122b6d60?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-15	xian	xian-grand-tang	🏺	"## Arrival
Arrive Xi'an in the morning by overnight sleeper. Drop bags, check in if the room is ready, and keep the day deliberately flexible after the train night.

## Afternoon
Wander the **Muslim Quarter** at an easy pace and eat your way from the **Drum Tower** toward the **Great Mosque**:
- **Roujiamo**
- **Biangbiang noodles**
- Fresh pomegranate juice

## Evening
Take a gentle sunset walk on the **city walls** if energy is good; otherwise just have an early night."	Muslim Quarter feast and city-wall sunset	Arrive by sleeper	https://images.unsplash.com/photo-1483135349295-9e3c48106ee6?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-16	xian	xian-grand-tang	🪆	"## Terracotta Army
- Leave by **8 am** by prebooked car or tourist bus from the station.
- **Pit 1** is overwhelming in scale; **Pit 3** shows the command structure.
- Don't miss the museum building housing the **bronze chariots**.
- A guide is worth it here.
- Return to the city by late afternoon.

## Evening
Keep the evening simple: tea, showers and a **Defachang** dumpling banquet rather than another major sight."	Terracotta Warriors and dumpling night		https://images.unsplash.com/photo-1527922891260-918d42a4efc8?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-17	xian	xian-grand-tang	🛕	"## Morning
**Shaanxi History Museum** — one of China's finest. Reserve the free timed slot in advance and go first thing with passports; queues build quickly. Head straight for the Tang gold and silver collection.

## Afternoon
**Big Wild Goose Pagoda** and the surrounding square. If everyone still has energy, browse **Shuyuanmen** calligraphy street on the way back.

## Evening
Free evening for rooftop drinks, laundry or a second run at the Muslim Quarter."	Tang treasures and pagoda views		https://images.unsplash.com/photo-1665849189343-c302695244a4?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-18	emeishan	emeishan-baoguo-lodge	🚄	"## Travel
Morning **G/D train** from **Xi'an North** to **Chengdu East**, then Chengdu East to **Emeishan** station (~5 hrs total) — book in advance (12306 or Trip.com).

## Afternoon
Check into the lodge near **Baoguo Temple** at the mountain's base. Explore the temple complex and buy any last snacks, rain gear or warm layers here rather than higher up the mountain.

## Evening
Early vegetarian dinner and an early night. Leave big bags at the lodge tomorrow; only take an overnight bag up the mountain."	Train to Emei and temple calm	Train Xi'an North → Chengdu East → Emeishan, ~5 hrs	https://images.unsplash.com/photo-1715084671436-d4367d8c4955?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-19	emeishan	emeishan-baoguo-lodge	🥾	"## Lower mountain day
Take the **eco-bus** up from Baoguo to **Wuxiangang** so you skip the road slog, then hike the prettiest lower section: **Qingyin Pavilion**, **Yixiantian (One Line of Sky)** gorge and the forest trails around the streams.

## Afternoon
Descend back to the base rather than forcing the full 99 Bends. Use the extra time for a hot spring soak, early dinner and a proper sleep before the summit day.

## Night
Sleep again at the Baoguo lodge so the group starts the high-altitude push rested."	Forest trails and monastery peace		https://images.unsplash.com/photo-1743094038557-8c9a3bed7120?fm=jpg&q=60&w=3000&auto=format&fit=crop
2026-10-20	emeishan	emeishan-summit-guesthouse	⛅	"## Summit day
Leave early by **eco-bus** to **Leidongping**, then walk the final mountain section to the cable car. Take the cable car up to the **Golden Summit** unless conditions are exceptional and everyone still wants the stairs.

## Afternoon
Visit **Huazang Temple** and the gold-plated **Puxian Bodhisattva** statue, then keep the rest of the day unhurried at altitude.

## Sunset
The sea of clouds is the payoff. Bring warm layers; it can drop close to freezing in October.

## Night
Sleep at the summit guesthouse so sunrise tomorrow is effortless."	Golden Summit and sunset above the clouds		https://images.unsplash.com/photo-1478133845252-9db958c51fa5?fm=jpg&q=60&w=3000&auto=format&fit=crop
